id,value
id_0,27.4252661382
id_1,57.5918522741
id_2,21.9404322953
id_3,28.339405112
id_4,12.7990425571
id_5,28.339405112
id_6,39.3090727978
id_7,18.2838764
id_8,46.6221845883
id_9,33.8242389549
id_10,38.394933824
id_11,58.5059912479
id_12,39.3090727978
id_13,33.8242389549
id_14,27.4252661382
id_15,12.7990425571
id_16,54.8494353527
id_17,20.1121543477
id_18,16.4555984524
id_19,18.2838764
id_20,14.6273205048
id_21,24.6828492167
id_22,36.5666558763
id_23,8.22834768805
id_24,58.5059912479
id_25,45.7080456145
id_26,28.339405112
id_27,10.0566256357
id_28,28.339405112
id_29,34.7383779287
id_30,16.4555984524
id_31,11.8849035833
id_32,15.5414594786
id_33,5.48593076661
id_34,18.2838764
id_35,42.9656286931
id_36,22.8545712691
id_37,31.0818220334
id_38,6.40006974042
id_39,59.4201302217
id_40,44.7939066407
id_41,18.2838764
id_42,49.3646015098
id_43,17.3697374262
id_44,44.7939066407
id_45,53.021157405
id_46,63.9908250908
id_47,37.4807948502
id_48,50.2787404836
id_49,40.2232117716
id_50,31.0818220334
id_51,21.0262933215
id_52,47.5363235621
id_53,28.339405112
id_54,37.4807948502
id_55,41.1373507454
id_56,26.5111271644
id_57,20.1121543477
id_58,41.1373507454
id_59,33.8242389549
id_60,12.7990425571
id_61,27.4252661382
id_62,30.1676830596
id_63,51.1928794574
id_64,49.3646015098
id_65,28.339405112
id_66,40.2232117716
id_67,54.8494353527
id_68,28.339405112
id_69,39.3090727978
id_70,62.1625471432
id_71,53.9352963788
id_72,41.1373507454
id_73,11.8849035833
id_74,12.7990425571
id_75,34.7383779287
id_76,59.4201302217
id_77,5.48593076661
id_78,48.4504625359
id_79,39.3090727978
id_80,7.31420871424
id_81,21.0262933215
id_82,10.9707646095
id_83,37.4807948502
id_84,10.0566256357
id_85,4.57179179279
id_86,16.4555984524
id_87,11.8849035833
id_88,12.7990425571
id_89,21.9404322953
id_90,30.1676830596
id_91,11.8849035833
id_92,13.7131815309
id_93,10.9707646095
id_94,33.8242389549
id_95,14.6273205048
id_96,13.7131815309
id_97,7.31420871424
id_98,10.9707646095
id_99,4.57179179279
id_100,12.7990425571
id_101,20.1121543477
id_102,8.22834768805
id_103,4.57179179279
id_104,17.3697374262
id_105,35.6525169025
id_106,25.5969881906
id_107,10.9707646095
id_108,20.1121543477
id_109,20.1121543477
id_110,10.9707646095
id_111,12.7990425571
id_112,13.7131815309
id_113,25.5969881906
id_114,24.6828492167
id_115,14.6273205048
id_116,15.5414594786
id_117,38.394933824
id_118,27.4252661382
id_119,2.74351384516
id_120,3.65765281898
id_121,12.7990425571
id_122,15.5414594786
id_123,13.7131815309
id_124,5.48593076661
id_125,25.5969881906
id_126,24.6828492167
id_127,13.7131815309
id_128,16.4555984524
id_129,15.5414594786
id_130,4.57179179279
id_131,34.7383779287
id_132,17.3697374262
id_133,31.9959610073
id_134,25.5969881906
id_135,22.8545712691
id_136,11.8849035833
id_137,20.1121543477
id_138,74.9604927766
id_139,66.7332420123
id_140,29.2535440858
id_141,15.5414594786
id_142,25.5969881906
id_143,8.22834768805
id_144,16.4555984524
id_145,9.14248666187
id_146,20.1121543477
id_147,7.31420871424
id_148,12.7990425571
id_149,17.3697374262
id_150,45.7080456145
id_151,15.5414594786
id_152,21.9404322953
id_153,14.6273205048
id_154,18.2838764
id_155,28.339405112
id_156,17.3697374262
id_157,34.7383779287
id_158,2.74351384516
id_159,16.4555984524
id_160,37.4807948502
id_161,19.1980153738
id_162,47.5363235621
id_163,18.2838764
id_164,38.394933824
id_165,26.5111271644
id_166,19.1980153738
id_167,1.82937487134
id_168,66.7332420123
id_169,18.2838764
id_170,17.3697374262
id_171,65.8191030384
id_172,21.0262933215
id_173,3.65765281898
id_174,25.5969881906
id_175,1.82937487134
id_176,8.22834768805
id_177,18.2838764
id_178,21.9404322953
id_179,19.1980153738
id_180,41.1373507454
id_181,32.9100999811
id_182,31.9959610073
id_183,13.7131815309
id_184,9.14248666187
id_185,41.1373507454
id_186,34.7383779287
id_187,31.0818220334
id_188,12.7990425571
id_189,22.8545712691
id_190,12.7990425571
id_191,13.7131815309
id_192,31.9959610073
id_193,79.5311876457
id_194,31.9959610073
id_195,11.8849035833
id_196,59.4201302217
id_197,18.2838764
id_198,20.1121543477
id_199,22.8545712691
id_200,124.323997363
id_201,25.5969881906
id_202,58.5059912479
id_203,5.48593076661
id_204,62.1625471432
id_205,32.9100999811
id_206,16.4555984524
id_207,16.4555984524
id_208,63.9908250908
id_209,13.7131815309
id_210,32.9100999811
id_211,70.3897979075
id_212,23.7687102429
id_213,121.581580441
id_214,37.4807948502
id_215,83.1877435409
id_216,86.8442994362
id_217,68.5615199599
id_218,31.9959610073
id_219,23.7687102429
id_220,30.1676830596
id_221,53.9352963788
id_222,28.339405112
id_223,42.9656286931
id_224,46.6221845883
id_225,6.40006974042
id_226,4.57179179279
id_227,67.6473809861
id_228,25.5969881906
id_229,1.82937487134
id_230,37.4807948502
id_231,14.6273205048
id_232,21.9404322953
id_233,5.48593076661
id_234,17.3697374262
id_235,21.0262933215
id_236,15.5414594786
id_237,1.82937487134
id_238,25.5969881906
id_239,1.82937487134
