id,value
id_0,20.1778488711
id_1,59.1412840928
id_2,36.0737375693
id_3,31.629564026
id_4,12.6245758043
id_5,19.9268780388
id_6,43.0724626434
id_7,17.1976864315
id_8,45.4038910726
id_9,31.1485524329
id_10,37.6424897427
id_11,57.9962427901
id_12,37.4749815691
id_13,28.8819758323
id_14,28.9002653116
id_15,11.9198172175
id_16,50.3966190915
id_17,22.7732058343
id_18,22.2397518391
id_19,20.189223796
id_20,18.353839664
id_21,31.9395533467
id_22,34.271266707
id_23,13.3411675223
id_24,67.1981542194
id_25,37.6321401355
id_26,27.0312482073
id_27,7.92999798046
id_28,26.0194214405
id_29,23.3640455805
id_30,6.23063567376
id_31,7.4681163307
id_32,13.1535079782
id_33,7.48632896236
id_34,7.80699046104
id_35,48.869382185
id_36,28.3877277446
id_37,25.4661407695
id_38,20.114776192
id_39,53.1941542701
id_40,40.4223963863
id_41,31.0613721432
id_42,39.33811668
id_43,18.0862294205
id_44,26.9909201318
id_45,42.0984277545
id_46,41.3942232715
id_47,38.2740928659
id_48,45.9043988276
id_49,22.2610258729
id_50,27.4998749651
id_51,20.2833831808
id_52,32.7231619411
id_53,21.5379769699
id_54,30.4976286255
id_55,37.0617740672
id_56,21.813950321
id_57,16.9381613515
id_58,35.6116005273
id_59,30.0510491106
id_60,3.43342408294
id_61,42.5267316789
id_62,29.4257615094
id_63,29.2035321691
id_64,49.7982420361
id_65,21.0227862504
id_66,25.1364821759
id_67,45.9378564894
id_68,27.1549851802
id_69,39.6266604267
id_70,48.9356241678
id_71,51.8678775335
id_72,42.56105054
id_73,16.9239938038
id_74,17.6978407545
id_75,32.4086909538
id_76,52.3156114138
id_77,9.72837912593
id_78,37.155974161
id_79,38.1800400087
id_80,8.01580512691
id_81,20.6415599678
id_82,0.29413173713
id_83,35.6750361185
id_84,2.69177015478
id_85,8.56538732279
id_86,22.3919543533
id_87,19.2758742369
id_88,25.5360759632
id_89,19.3122320516
id_90,28.9208784496
id_91,12.8950060426
id_92,15.8549266759
id_93,19.3943446231
id_94,33.1889845598
id_95,13.5820375865
id_96,22.3204177981
id_97,18.3683986548
id_98,9.39836238143
id_99,11.3402663477
id_100,6.36428090861
id_101,23.4088225075
id_102,14.2536352579
id_103,18.5926597959
id_104,6.38372512664
id_105,31.7374934622
id_106,24.1493308893
id_107,9.30881884983
id_108,25.6274293674
id_109,14.2691651597
id_110,4.08913171039
id_111,9.8355292577
id_112,19.5614552921
id_113,21.5142034236
id_114,14.1082348099
id_115,20.2637697258
id_116,7.64200651633
id_117,39.2122836222
id_118,13.9779096154
id_119,1.35344032445
id_120,2.43654616526
id_121,16.6315919445
id_122,10.2226361947
id_123,6.27371854224
id_124,18.2264856072
id_125,16.7797653701
id_126,21.1103973371
id_127,6.21315475386
id_128,19.7068650185
id_129,14.2389628145
id_130,3.33319465484
id_131,18.5969562943
id_132,21.3729802623
id_133,31.7599142128
id_134,25.4704653591
id_135,19.7563272243
id_136,10.402896936
id_137,27.6858869969
id_138,77.0147212083
id_139,71.6118376013
id_140,26.894787983
id_141,22.4164029896
id_142,15.6173451001
id_143,6.74442882116
id_144,19.8540564846
id_145,11.1391061641
id_146,13.823711939
id_147,8.80231010958
id_148,21.4834114938
id_149,18.3384796856
id_150,29.826964793
id_151,15.0884833113
id_152,13.5088481242
id_153,10.9605177304
id_154,17.8922388299
id_155,23.8024028091
id_156,32.4188522762
id_157,32.498631255
id_158,13.3615918719
id_159,26.801640818
id_160,43.2398842348
id_161,14.9069806359
id_162,55.2600301413
id_163,6.09791436714
id_164,22.9282823672
id_165,29.2345514164
id_166,29.7600608316
id_167,0.358217078036
id_168,67.6134591452
id_169,28.4342537858
id_170,9.80077178566
id_171,52.4322243514
id_172,13.8093144132
id_173,7.43552736691
id_174,37.6121095335
id_175,-0.990543681108
id_176,9.06416028831
id_177,30.5582297016
id_178,32.3176669283
id_179,28.6698892304
id_180,29.4890975831
id_181,38.4011796755
id_182,37.369049813
id_183,24.304794244
id_184,10.9997808151
id_185,33.2951301859
id_186,30.7926925218
id_187,32.9862013177
id_188,20.2294722163
id_189,25.2030449766
id_190,5.6657494254
id_191,21.040176474
id_192,19.8362910991
id_193,76.7273531722
id_194,39.5593672102
id_195,12.5780849693
id_196,60.8100379399
id_197,22.8692454784
id_198,24.9860359936
id_199,27.2304667884
id_200,84.8317160291
id_201,20.1245410385
id_202,54.3541378925
id_203,9.0249495875
id_204,43.9884850145
id_205,29.7366184728
id_206,9.14576316803
id_207,17.2963781999
id_208,47.3864451885
id_209,22.0028397268
id_210,48.8228798261
id_211,55.7592138019
id_212,23.04398915
id_213,81.1400933102
id_214,39.4712098169
id_215,55.0715899824
id_216,69.6104369627
id_217,54.6812200818
id_218,39.7937835806
id_219,21.8525364374
id_220,32.5602386245
id_221,66.5765679508
id_222,21.6338509116
id_223,41.9900198336
id_224,42.1095788882
id_225,16.6617160351
id_226,8.90462499854
id_227,89.5161969088
id_228,35.7746622296
id_229,7.64734750298
id_230,44.7298030138
id_231,19.6179339625
id_232,25.0508618355
id_233,11.4600886577
id_234,22.152967271
id_235,24.1238878419
id_236,21.8979620981
id_237,18.8669892347
id_238,20.4445529848
id_239,34.8903070107
